Name,Friendly Name,Device Type,Company Name,Company Friendly Name,Site Name,Site Friendly Name,OS,OS Architecture,OS Language,IP Address,External IP Address,System Domain Role,Device Serial Number,Installed Date,System Model,Processor,Processor Type,Number Of Processors,Number of Cores,RAM (GB),Disk Manufacturer/Model,Disk Interface Type,Disk Volume (GB),Partitions,BIOS Version,BIOS Manufacturer,BIOS Serial No,Bios Product,Base Board Manufacturer,Device Time Zone,Last Check Date
2019-RDS,2019-RDS,Server,BDR Group,BDR Group,BDR - Servers,BDR - Servers,Windows Server 2019 Standard 10.0.17763,64-bit,English (United Kingdom),194.0.10.14,62.105.82.130,Member Server,VMware-42 13 59 cb 35 75 6f f4-8c ab 20 5c 1c db 04 c2,10/14/2024 12:10 pm,VMware Virtual Platform,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,Central Processor,8,1,32.00,(Standard disk drives) / VMware Virtual disk SCSI Disk Device,SCSI,150.00,2,6.00,Phoenix Technologies LTD,VMware-42 13 59 cb 35 75 6f f4-8c ab 20 5c 1c db 04 c2,BIOS Date: 12/12/2018 Ver: 6.00,Intel Corporation,(UTC +0100) BST,07/20/2025 11:48 am
2019-dc3,2019-dc3,Server,BDR Group,BDR Group,BDR - Servers,BDR - Servers,Windows Server 2019 Standard 10.0.17763,64-bit,English (United Kingdom),194.0.10.16,62.105.82.130,Primary Domain Controller,VMware-56 4d 16 87 d2 e4 a3 1b-59 76 f9 f8 d9 77 03 3a,10/14/2024 12:09 pm,VMware Virtual Platform,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,Central Processor,2,1,16.00,(Standard disk drives) / VMware Virtual disk SCSI Disk Device,SCSI,175.00,2,6.00,Phoenix Technologies LTD,VMware-56 4d 16 87 d2 e4 a3 1b-59 76 f9 f8 d9 77 03 3a,BIOS Date: 12/12/2018 Ver: 6.00,Intel Corporation,(UTC +0100) BST,07/20/2025 07:05 pm
BDR-DC-GENRDS01,BDR-DC-GENRDS01,Server,BDR Group,BDR Group,BDR - Servers,BDR - Servers,Windows Server 2022 Standard 21H2,64-bit,English (United States),10.1.1.171,80.79.134.68,Member Server,VMware-42 18 4e 6b 5f 0b 5d 68-e5 fb ad 12 42 38 ee 0e,11/25/2024 10:57 am,"VMware7,1",Intel(R) Xeon(R) Gold 5218R CPU @ 2.10GHz,Central Processor,4,2,36.00,(Standard disk drives) / VMware Virtual disk SCSI Disk Device,SCSI,100.00,3,VMW71.00V.21100432.B64.2301110304,"VMware, Inc.",VMware-42 18 4e 6b 5f 0b 5d 68-e5 fb ad 12 42 38 ee 0e,BIOS Date: 01/11/2023 Ver: VMW71.00V.21100432.B64.2301110304,Intel Corporation,(UTC +0100) BST,07/21/2025 04:11 am
2019-dc3,2019-dc3,Server,BDR Group,BDR Group,BDR - Servers,BDR - Servers,Windows Server 2019 Standard 10.0.17763,64-bit,English (United Kingdom),194.0.10.16,62.105.82.130,Primary Domain Controller,VMware-56 4d 16 87 d2 e4 a3 1b-59 76 f9 f8 d9 77 03 3a,10/14/2024 12:09 pm,VMware Virtual Platform,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,Central Processor,2,1,16.00,(Standard disk drives) / VMware Virtual disk SCSI Disk Device,SCSI,200.00,1,6.00,Phoenix Technologies LTD,VMware-56 4d 16 87 d2 e4 a3 1b-59 76 f9 f8 d9 77 03 3a,BIOS Date: 12/12/2018 Ver: 6.00,Intel Corporation,(UTC +0100) BST,07/20/2025 07:05 pm
BDR-3C-RDS,BDR-3C-RDS,Server,BDR Group,BDR Group,BDR - Servers,BDR - Servers,Windows Server 2022 Standard 21H2,64-bit,English (United States),10.1.1.162,80.79.134.68,Member Server,VMware-42 18 04 d3 25 2c f6 79-34 11 a3 9a 06 6d ac c5,03/22/2025 08:44 pm,"VMware7,1",Intel(R) Xeon(R) Gold 5218R CPU @ 2.10GHz,Central Processor,1,2,16.00,(Standard disk drives) / VMware Virtual disk SCSI Disk Device,SCSI,150.00,3,VMW71.00V.18227214.B64.2106252220,"VMware, Inc.",VMware-42 18 04 d3 25 2c f6 79-34 11 a3 9a 06 6d ac c5,BIOS Date: 06/25/2021 Ver: VMW71.00V.18227214.B64.2106252220,Intel Corporation,(UTC +0000) GMT,07/21/2025 02:58 am
bdr-cst-jump01,bdr-cst-jump01,Server,BDR Group,BDR Group,BDR - Servers,BDR - Servers,Windows Server 2019 Standard 10.0.17763,64-bit,English (United Kingdom),10.2.1.101,109.74.241.36,Member Server,VMware-42 18 39 45 bf d2 4f c1-43 da bc f4 7a 6b f7 b2,03/25/2025 03:42 pm,"VMware7,1",Intel(R) Xeon(R) Gold 6130 CPU @ 2.10GHz,Central Processor,1,2,8.00,(Standard disk drives) / VMware Virtual disk SCSI Disk Device,SCSI,90.00,3,VMW71.00V.21100432.B64.2301110304,"VMware, Inc.",VMware-42 18 39 45 bf d2 4f c1-43 da bc f4 7a 6b f7 b2,BIOS Date: 01/11/2023 Ver: VMW71.00V.21100432.B64.2301110304,Intel Corporation,(UTC +0100) BST,03/30/2025 03:15 pm
veeam01,veeam01,Server,BDR Group,BDR Group,BDR - Servers,BDR - Servers,Windows Server 2016 Standard 10.0.14393,64-bit,English (United Kingdom),10.1.10.115,80.79.134.68,Member Server,VMware-42 1b 9f 35 4d 91 d5 69-3b 4e 84 72 be 29 c5 5a,12/10/2024 12:41 pm,VMware Virtual Platform,Intel(R) Xeon(R) Gold 5218R CPU @ 2.10GHz,Central Processor,1,16,32.00,(Standard disk drives) / VMware Virtual disk SCSI Disk Device,SCSI,1200.00,2,6.00,Phoenix Technologies LTD,VMware-42 1b 9f 35 4d 91 d5 69-3b 4e 84 72 be 29 c5 5a,BIOS Date: 05/28/2020 Ver: 6.00,Intel Corporation,(UTC +0100) BST,07/20/2025 08:23 pm
2019-dc3,2019-dc3,Server,BDR Group,BDR Group,BDR - Servers,BDR - Servers,Windows Server 2019 Standard 10.0.17763,64-bit,English (United Kingdom),194.0.10.16,62.105.82.130,Primary Domain Controller,VMware-56 4d 16 87 d2 e4 a3 1b-59 76 f9 f8 d9 77 03 3a,10/14/2024 12:09 pm,VMware Virtual Platform,Intel(R) Xeon(R) CPU E5-2673 v3 @ 2.40GHz,Central Processor,2,1,16.00,(Standard disk drives) / VMware Virtual disk SCSI Disk Device,SCSI,200.00,2,6.00,Phoenix Technologies LTD,VMware-56 4d 16 87 d2 e4 a3 1b-59 76 f9 f8 d9 77 03 3a,BIOS Date: 12/12/2018 Ver: 6.00,Intel Corporation,(UTC +0100) BST,07/20/2025 07:05 pm
veeam01,veeam01,Server,BDR Group,BDR Group,BDR - Servers,BDR - Servers,Windows Server 2016 Standard 10.0.14393,64-bit,English (United Kingdom),10.1.10.115,80.79.134.68,Member Server,VMware-42 1b 9f 35 4d 91 d5 69-3b 4e 84 72 be 29 c5 5a,12/10/2024 12:41 pm,VMware Virtual Platform,Intel(R) Xeon(R) Gold 5218R CPU @ 2.10GHz,Central Processor,1,16,32.00,(Standard disk drives) / VMware Virtual disk SCSI Disk Device,SCSI,50.00,1,6.00,Phoenix Technologies LTD,VMware-42 1b 9f 35 4d 91 d5 69-3b 4e 84 72 be 29 c5 5a,BIOS Date: 05/28/2020 Ver: 6.00,Intel Corporation,(UTC +0100) BST,07/20/2025 08:23 pm
fs01,fs01,Server,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Windows Server 2016 Standard 10.0.14393,64-bit,English (United Kingdom),10.1.1.105,80.79.134.68,Member Server,VMware-42 1b 62 08 4c 5c 30 41-e0 6a 44 04 7e 5d c2 0d,10/14/2024 12:09 pm,VMware Virtual Platform,Intel(R) Xeon(R) Gold 5218R CPU @ 2.10GHz,Central Processor,4,1,32.00,(Standard disk drives) / VMware Virtual disk SCSI Disk Device,-,5120.00,0,6.00,Phoenix Technologies LTD,VMware-42 1b 62 08 4c 5c 30 41-e0 6a 44 04 7e 5d c2 0d,BIOS Date: 05/28/2020 Ver: 6.00,Intel Corporation,(UTC +0100) BST,07/17/2025 03:53 pm
Lloyd-BDR-SA,Lloyd-BDR-SA,Desktop,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Microsoft Windows 11 Pro 23H2,64-bit,English (United States),192.168.0.106,169.1.241.120,Standalone Workstation,J98VKX3,01/08/2025 05:14 pm,Vostro 16 5630,13th Gen Intel(R) Core(TM) i5-1340P,Central Processor,1,12,8.00,(Standard disk drives) / NVMe OM3PGP4-AD NVMe KDI 256GB,SCSI,238.47,5,1.21.0,Dell Inc.,J98VKX3,BIOS Date: 03/26/2025 Ver: 1.21.0,Dell Inc.,(UTC +0200) SAST,06/13/2025 11:08 pm
Hikvision01,Hikvision-Paxton,Desktop,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Windows 10 Pro 22H2,64-bit,English (United States),10.1.52.200,80.79.134.68,Standalone Workstation,VMware-42 18 e0 62 c5 74 13 12-d2 29 75 4e ff 8d 8a 34,10/14/2024 12:09 pm,VMware Virtual Platform,Intel(R) Xeon(R) Gold 5218R CPU @ 2.10GHz,Central Processor,2,1,16.00,(Standard disk drives) / VMware Virtual disk SCSI Disk Device,SCSI,500.00,2,6.00,Phoenix Technologies LTD,VMware-42 18 e0 62 c5 74 13 12-d2 29 75 4e ff 8d 8a 34,BIOS Date: 11/12/2020 Ver: 6.00,Intel Corporation,(UTC +0100) BST,07/20/2025 05:55 pm
BDR-LT-130587,BDR-LT-130587,Desktop,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Microsoft Windows 11 Pro 24H2,64-bit,English (United Kingdom),192.168.1.98,194.120.133.85,Member Workstation,53HMML3,11/27/2024 11:10 am,Latitude 3520,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Central Processor,1,4,8.00,(Standard disk drives) / PM991a NVMe Samsung 256GB,SCSI,238.47,4,1.39.0,Dell Inc.,53HMML3,BIOS Date: 12/11/2024 Ver: 1.39.0,Dell Inc.,(UTC +0100) BST,07/21/2025 09:08 am
MC-VM-1,MC-VM-1,Server,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Windows Server 2016 Standard 10.0.14393,64-bit,English (United Kingdom),192.168.252.2,37.209.217.46,Standalone Server,-,01/07/2025 01:41 pm,KVM,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",Central Processor,4,1,8.00,(Standard disk drives) / Red Hat VirtIO SCSI Disk Device,SCSI,100.00,1,1.11.0-2.el7,SeaBIOS,-,BIOS Date: 04/01/2014 Ver: 1.11.0-2.el7,-,(UTC +0100) BST,07/21/2025 01:58 am
BDR-LT-1899,BDR-LT-1899,Desktop,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Microsoft Windows 11 Pro 21H2,64-bit,English (United Kingdom),192.168.1.14,81.133.202.9,Standalone Workstation,GM2VX93,01/09/2025 02:01 pm,Latitude 3410,Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz,Central Processor,1,4,16.00,(Standard disk drives) / NVMe KBG40ZNS256G NVM,SCSI,238.47,3,1.31.0,Dell Inc.,GM2VX93,BIOS Date: 09/09/2024 Ver: 1.31.0,Dell Inc.,(UTC +0100) BST,07/17/2025 12:01 pm
BDR_JacquesNel,DESKTOP-ALSD91M,Desktop,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Microsoft Windows 11 Business 24H2,64-bit,English (United States),10.10.2.24,41.132.67.243,Standalone Workstation,988VKX3,04/08/2025 09:42 am,Vostro 16 5630,13th Gen Intel(R) Core(TM) i5-1340P,Central Processor,1,12,8.00,(Standard disk drives) / OM3PGP4-AD NVMe KDI 256GB,SCSI,238.47,3,1.18.0,Dell Inc.,988VKX3,BIOS Date: 09/05/2024 Ver: 1.18.0,Dell Inc.,(UTC +0200) SAST,07/21/2025 08:48 am
LAPTOP-JQCOS4JQ,BDT-LT-AA13220,Desktop,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Microsoft Windows 11 Pro 22H2,64-bit,English (United Kingdom),"192.168.51.180, 10.10.10.81",195.224.83.226,Standalone Workstation,5CG2171GCL,12/13/2024 02:57 pm,HP 470 G8 Notebook PC,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Central Processor,1,4,16.00,(Standard disk drives) / NVMe KBG40ZNV256G KIOXIA,SCSI,238.47,3,F.31,AMI,5CG2171GCL,BIOS Date: 10/09/2024 Ver: F.31,HP,(UTC +0000) GMT,12/13/2024 03:08 pm
KEV-S510,KEV-S510,Desktop,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Windows 10 Pro 22H2,64-bit,English (United Kingdom),194.0.10.128,62.105.82.130,Member Workstation,PC0K4J7K,10/14/2024 12:09 pm,10KY005EUK,Intel(R) Core(TM) i7-6700K CPU @ 4.00GHz,Central Processor,1,4,20.00,(Standard disk drives) /  USB  SanDisk 3.2Gen1 USB Device,USB,28.65,1,M0UKT24A,LENOVO,PC0K4J7K,BIOS Date: 09/01/2016 Ver: M0UKT24A,LENOVO,(UTC +0100) BST,07/21/2025 04:04 am
BDR-LT-AA14178,BDR-LT-AA14178,Desktop,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Microsoft Windows 11 Enterprise 24H2,64-bit,English (United Kingdom),192.168.1.148,195.180.33.19,Standalone Workstation,MP27WDLP,03/06/2025 01:02 pm,20VE,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Central Processor,1,4,8.00,(Standard disk drives) / NVMe SKHynix_HFM256GD3HX015N,SCSI,238.47,3,F8CN47WW(V2.10),LENOVO,MP27WDLP,BIOS Date: 03/27/2022 Ver: F8CN47WW(V2.10),LENOVO,(UTC +0100) BST,07/21/2025 08:39 am
ICOM-LT-1388,ICOM-LT-1388,Desktop,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Microsoft Windows 11 Pro 24H2,64-bit,English (United States),192.168.56.3,195.224.78.142,Member Workstation,5TQFLT2,01/08/2025 01:08 pm,Latitude 3400,Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz,Central Processor,1,4,8.00,(Standard disk drives) / KBG40ZNS256G NVMe TOSHIBA 256GB,SCSI,238.47,3,1.36.0,Dell Inc.,5TQFLT2,BIOS Date: 12/18/2024 Ver: 1.36.0,Dell Inc.,(UTC +0100) BST,06/04/2025 02:05 pm
BDR-DT-2282,BDR-DT-2282,Desktop,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Windows 10 Pro 21H1,64-bit,English (United States),192.168.51.134,195.224.83.226,Member Workstation,1RV51D3,10/14/2024 12:09 pm,OptiPlex 3080,Intel(R) Core(TM) i5-10500T CPU @ 2.30GHz,Central Processor,1,6,8.00,(Standard disk drives) / SanDisk Cruzer Blade USB Device,USB,28.67,2,2.2.1,Dell Inc.,1RV51D3,BIOS Date: 08/20/2021 Ver: 2.2.1,Dell Inc.,(UTC +0000) GMT,10/30/2024 03:55 pm
BDR-LT-11445,BDR-LT-11445,Desktop,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Microsoft Windows 11 Pro 21H2,64-bit,English (United Kingdom),192.168.56.40,195.224.78.142,Member Workstation,1J6H5B3,10/14/2024 12:09 pm,Latitude 3520,11th Gen Intel(R) Core(TM) i3-1115G4 @ 3.00GHz,Central Processor,1,2,8.00,(Standard disk drives) / PM991a NVMe Samsung 256GB,SCSI,238.47,4,1.38.0,Dell Inc.,1J6H5B3,BIOS Date: 09/06/2024 Ver: 1.38.0,Dell Inc.,(UTC +0100) BST,07/21/2025 07:53 am
SAP-Testing-02,SAP-Testing-02,Server,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Windows Server 2019 Standard 10.0.17763,64-bit,English (United Kingdom),10.1.1.151,80.79.134.68,Standalone Server,VMware-42 18 69 6e 4e a7 08 b3-cc bb e3 ab 61 cb 85 9e,10/14/2024 12:09 pm,VMware Virtual Platform,Intel(R) Xeon(R) Gold 5218R CPU @ 2.10GHz,Central Processor,8,1,64.00,(Standard disk drives) / VMware Virtual disk SCSI Disk Device,SCSI,1024.00,2,6.00,Phoenix Technologies LTD,VMware-42 18 69 6e 4e a7 08 b3-cc bb e3 ab 61 cb 85 9e,BIOS Date: 11/12/2020 Ver: 6.00,Intel Corporation,(UTC +0100) BST,07/21/2025 08:49 am
PF49WF3Q-AM,PF49WF3Q-AM,Desktop,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Microsoft Windows 11 Pro 23H2,64-bit,English (United States),192.168.1.228,62.105.82.130,Member Workstation,PF49WF3Q,10/14/2024 12:10 pm,82TT,12th Gen Intel(R) Core(TM) i7-1255U,Central Processor,1,10,16.00,(Standard disk drives) / SAMSUNG MZAL4512HBLU-00BL2,SCSI,476.94,3,JKCN49WW,LENOVO,PF49WF3Q,BIOS Date: 12/02/2024 Ver: JKCN49WW,LENOVO,(UTC +0100) BST,07/21/2025 09:08 am
BDRCPT-AA15405,Wilbert,Desktop,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Microsoft Windows 11 Enterprise 24H2,64-bit,English (United States),10.10.2.35,41.132.67.243,Standalone Workstation,FXMLHX3,04/07/2025 05:11 pm,Vostro 16 5630,13th Gen Intel(R) Core(TM) i5-1340P,Central Processor,1,12,16.00,(Standard disk drives) / NVMe CL4-3D512-Q11 NVMe SSSTC 512GB,SCSI,476.94,5,1.20.0,Dell Inc.,FXMLHX3,BIOS Date: 02/07/2025 Ver: 1.20.0,Dell Inc.,(UTC +0200) SAST,07/21/2025 06:58 am
Purchasing-VPC,Purchasing-VPC,Desktop,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Windows 10 Pro 22H2,64-bit,English (United States),194.0.10.120,62.232.211.2,Member Workstation,VMware-56 4d 8d fc 6b 50 b6 65-4a 3f e8 d5 f9 78 fe 3e,10/14/2024 12:09 pm,VMware Virtual Platform,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,Central Processor,2,1,8.00,(Standard disk drives) / VMware Virtual disk SCSI Disk Device,SCSI,100.00,3,6.00,Phoenix Technologies LTD,VMware-56 4d 8d fc 6b 50 b6 65-4a 3f e8 d5 f9 78 fe 3e,BIOS Date: 11/12/2020 Ver: 6.00,Intel Corporation,(UTC +0000) GMT,01/06/2025 07:18 am
ad03,ad03,Server,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Windows Server 2016 Standard 10.0.14393,64-bit,English (United Kingdom),192.168.51.5,195.224.83.226,Backup Domain Controller,8066BR2,10/14/2024 12:10 pm,PowerEdge R230,Intel(R) Xeon(R) CPU E3-1220 v6 @ 3.00GHz,Central Processor,1,4,16.00,(Standard disk drives) / DELL PERC H730 Adp SCSI Disk Device,-,3725.50,0,2.4.3,Dell Inc.,8066BR2,BIOS Date: 01/31/2018 Ver: 2.4.3,Dell Inc.,(UTC +0100) BST,07/21/2025 03:18 am
BDRCOL-PF49WF84,BDRCOL-PF49WF84,Desktop,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Microsoft Windows 11 Enterprise 24H2,64-bit,English (United Kingdom),"194.0.10.48, 192.168.56.1",62.105.82.130,Standalone Workstation,PF49WF84,05/15/2025 11:32 am,82TT,12th Gen Intel(R) Core(TM) i7-1255U,Central Processor,1,10,16.00,(Standard disk drives) / SAMSUNG MZAL4512HBLU-00BL2,SCSI,476.94,3,JKCN50WW,LENOVO,PF49WF84,BIOS Date: 03/17/2025 Ver: JKCN50WW,LENOVO,(UTC +0100) BST,07/21/2025 08:48 am
Support2,Support2,Desktop,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Windows 7 Professional 6.1.7601,32-bit,English (United Kingdom),192.168.51.76,195.224.83.226,Member Workstation,CZC9502GSV,01/31/2025 12:16 pm,HP Compaq 6000 Pro MT PC,Intel(R) Core(TM)2 Duo CPU     E8500  @ 3.16GHz,Central Processor,1,2,12.04,(Standard disk drives) / Kingston DataTraveler 3.0 USB Device,USB,14.41,1,786G2 v01.09,Hewlett-Packard,CZC9502GSV,BIOS Date: 08/25/2009 Ver: 786G2 v01.09,Hewlett-Packard,(UTC +0100) BST,07/20/2025 07:06 pm
BDR-LT-AA14932,BDR-LT-AA14932,Desktop,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Microsoft Windows 11 Pro Insider Preview 25H2,64-bit,English (United States),192.168.1.164,86.133.35.59,Member Workstation,83MXTL3,10/14/2024 12:09 pm,Latitude 5530,12th Gen Intel(R) Core(TM) i7-1265U,Central Processor,1,10,32.00,(Standard disk drives) / NVMe PC SN740 NVMe WD 512GB,SCSI,476.94,4,1.30.1,Dell Inc.,83MXTL3,BIOS Date: 05/01/2025 Ver: 1.30.1,Dell Inc.,(UTC +0100) BST,07/21/2025 08:15 am
veeam03,veeam03,Server,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Windows Server 2019 Standard 10.0.17763,64-bit,English (United Kingdom),10.2.1.155,109.74.241.36,Member Server,VMware-42 18 94 aa bf b6 e9 70-0b 19 11 65 e6 46 bd b1,10/14/2024 12:09 pm,VMware Virtual Platform,Intel(R) Xeon(R) Silver 4110 CPU @ 2.10GHz,Central Processor,2,3,24.00,(Standard disk drives) / VMware Virtual disk SCSI Disk Device,SCSI,300.00,2,6.00,Phoenix Technologies LTD,VMware-42 18 94 aa bf b6 e9 70-0b 19 11 65 e6 46 bd b1,BIOS Date: 11/12/2020 Ver: 6.00,Intel Corporation,(UTC +0100) BST,07/21/2025 02:56 am
BDR-LT-AA14655,BDR-LT-AA14655,Desktop,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Microsoft Windows 11 Enterprise 24H2,64-bit,English (United States),192.168.51.209,195.224.83.226,Standalone Workstation,1H40S34,01/10/2025 04:34 pm,Latitude 7450,Intel(R) Core(TM) Ultra 5 135U,Central Processor,1,12,16.00,(Standard disk drives) / PC SN740 NVMe WD 512GB,SCSI,476.94,4,1.14.1,Dell Inc.,1H40S34,BIOS Date: 05/15/2025 Ver: 1.14.1,Dell Inc.,(UTC +0100) BST,07/18/2025 10:51 am
PF49WBPR-TS,PF49WBPR-TS,Desktop,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Microsoft Windows 11 Pro 24H2,64-bit,English (United States),194.0.10.43,62.105.82.130,Member Workstation,PF49WBPR,10/14/2024 12:09 pm,82TT,12th Gen Intel(R) Core(TM) i7-1255U,Central Processor,1,10,16.00,(Standard disk drives) / SAMSUNG MZAL4512HBLU-00BL2,SCSI,476.94,3,JKCN50WW,LENOVO,PF49WBPR,BIOS Date: 03/17/2025 Ver: JKCN50WW,LENOVO,(UTC +0100) BST,07/21/2025 08:17 am
BDR-LT-13318,BDR-LT-13318,Desktop,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Microsoft Windows 11 Pro 23H2,64-bit,English (United States),192.168.51.123,195.224.83.226,Member Workstation,8GY8FX3,10/14/2024 12:09 pm,Latitude 3420,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Central Processor,1,4,8.00,(Standard disk drives) / NVMe PM9B1 NVMe Samsung 256GB,SCSI,238.47,4,1.37.0,Dell Inc.,8GY8FX3,BIOS Date: 07/08/2024 Ver: 1.37.0,Dell Inc.,(UTC +0000) GMT,02/10/2025 11:12 am
MC-VM-1,MC-VM-1,Server,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Windows Server 2016 Standard 10.0.14393,64-bit,English (United Kingdom),192.168.252.2,37.209.217.46,Standalone Server,-,10/28/2024 04:02 pm,KVM,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",Central Processor,4,1,8.00,(Standard disk drives) / Red Hat VirtIO SCSI Disk Device,SCSI,100.00,1,1.11.0-2.el7,SeaBIOS,-,BIOS Date: 04/01/2014 Ver: 1.11.0-2.el7,-,(UTC +0000) GMT,11/11/2024 08:33 pm
AVMD35,AVMD35,Desktop,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Windows 10 Home 22H2,64-bit,English (United States),192.168.1.33,78.141.19.23,Standalone Workstation,PF2F5GWH,02/20/2025 10:43 am,81YK,Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz,Central Processor,1,4,8.00,(Standard disk drives) / UMIS RPJTJ256MEE1OWX,SCSI,238.47,3,DPCN59WW,LENOVO,PF2F5GWH,BIOS Date: 06/13/2023 Ver: DPCN59WW,LENOVO,(UTC +0100) BST,07/07/2025 10:11 am
BDR-LT-13022,BDR-LT-13022,Desktop,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Microsoft Windows 11 Pro 24H2,64-bit,English (United Kingdom),192.168.51.120,195.224.83.226,Member Workstation,7KTMML3,01/08/2025 09:05 am,Latitude 3520,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Central Processor,1,4,16.00,(Standard disk drives) / KBG40ZNS256G NVMe KIOXIA 256GB,SCSI,238.47,4,1.38.0,Dell Inc.,7KTMML3,BIOS Date: 09/06/2024 Ver: 1.38.0,Dell Inc.,(UTC +0100) BST,07/21/2025 09:07 am
COMECLTNEW-004,COMECLTNEW-004,Desktop,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Microsoft Windows 11 Pro 24H2,64-bit,English (United Kingdom),"192.168.100.101, 192.168.23.1, 10.175.78.42, 192.168.248.1",176.20.159.150,Member Workstation,1H9NLG3,10/14/2024 12:09 pm,Latitude 3520,11th Gen Intel(R) Core(TM) i5-1135G7 @ 2.40GHz,Central Processor,1,4,8.00,(Standard disk drives) / Samsung PSSD T7 Shield SCSI Disk Device,SCSI,931.51,1,1.41.1,Dell Inc.,1H9NLG3,BIOS Date: 04/30/2025 Ver: 1.41.1,Dell Inc.,(UTC +0100) BST,07/21/2025 09:20 am
AA13306,AA13306,Desktop,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Microsoft Windows 11 Pro 23H2,64-bit,English (United Kingdom),192.168.51.115,195.224.83.226,Member Workstation,6VXJ8X2,10/14/2024 12:09 pm,OptiPlex 3060,Intel(R) Core(TM) i5-8500T CPU @ 2.10GHz,Central Processor,1,6,8.00,(Standard disk drives) / SK hynix SC401 SATA 256GB,SCSI,238.47,3,1.31.0,Dell Inc.,6VXJ8X2,BIOS Date: 08/01/2024 Ver: 1.31.0,Dell Inc.,(UTC +0000) GMT,01/10/2025 10:10 am
BDR-FS02,BDR-FS02,Server,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Windows Server 2019 Standard 10.0.17763,64-bit,English (United Kingdom),10.1.1.135,80.79.134.68,Member Server,VMware-42 18 82 b4 11 93 11 fc-c6 f4 b0 ea 1a b5 ae 68,10/14/2024 12:09 pm,VMware Virtual Platform,Intel(R) Xeon(R) Gold 5218R CPU @ 2.10GHz,Central Processor,2,1,8.00,(Standard disk drives) / VMware Virtual disk SCSI Disk Device,SCSI,100.00,2,6.00,Phoenix Technologies LTD,VMware-42 18 82 b4 11 93 11 fc-c6 f4 b0 ea 1a b5 ae 68,BIOS Date: 05/28/2020 Ver: 6.00,Intel Corporation,(UTC +0100) BST,07/21/2025 12:56 am
MC-VM-1,MC-VM-1,Server,BDR Group,BDR Group,BDR - Stratford,BDR - Stratford,Windows Server 2016 Standard 10.0.14393,64-bit,English (United Kingdom),192.168.252.2,37.209.217.46,Standalone Server,-,11/13/2024 02:40 pm,KVM,"Intel Xeon E312xx (Sandy Bridge, IBRS update)",Central Processor,4,1,8.00,(Standard disk drives) / Red Hat VirtIO SCSI Disk Device,-,100.00,0,1.11.0-2.el7,SeaBIOS,-,BIOS Date: 04/01/2014 Ver: 1.11.0-2.el7,-,(UTC +0000) GMT,01/07/2025 10:19 am
